MS SubClass,Neighborhood,House Style,Overall Qual,Exterior 1st,Exterior 2nd,Mas Vnr Area,BsmtFin Type 1,Kitchen Qual,Fireplaces,Garage Cars,Garage Area,Misc Val,SalePrice,liveable_sf,bath_total,effective_age
20,NAmes,1Story,6,BrkFace,Plywood,112.0,BLQ,TA,2.0,2.0,528.0,0,215000,2103.3,2.0,50.0
20,NAmes,1Story,5,VinylSd,VinylSd,0.0,Rec,TA,0.0,1.0,730.0,0,105000,1324.4,1.0,49.0
20,NAmes,1Story,6,Wd Sdng,Wd Sdng,108.0,ALQ,Gd,0.0,1.0,312.0,12500,172000,1975.1,1.5,52.0
20,NAmes,1Story,7,BrkFace,BrkFace,0.0,ALQ,Ex,2.0,2.0,522.0,0,244000,2855.5,3.5,42.0
60,Gilbert,2Story,5,VinylSd,VinylSd,0.0,GLQ,TA,1.0,2.0,482.0,0,189900,2182.7,2.5,12.458000000000002
60,Gilbert,2Story,6,VinylSd,VinylSd,20.0,GLQ,Gd,1.0,2.0,470.0,0,195500,2025.4,2.5,12.0
120,StoneBr,1Story,8,CemntBd,CmentBd,0.0,GLQ,Gd,0.0,2.0,582.0,0,213500,1769.2,3.0,9.0
120,StoneBr,1Story,8,HdBoard,HdBoard,0.0,ALQ,Gd,0.0,2.0,506.0,0,191500,1464.1,2.0,18.0
120,StoneBr,1Story,8,CemntBd,CmentBd,0.0,GLQ,Gd,1.0,2.0,608.0,0,236500,2442.0,3.0,14.458000000000002
60,Gilbert,2Story,7,VinylSd,VinylSd,0.0,Unf,Gd,1.0,2.0,442.0,0,189000,1804.0,2.5,11.0
60,Gilbert,2Story,6,HdBoard,HdBoard,0.0,Unf,TA,1.0,2.0,440.0,0,175900,1655.0,2.5,16.458000000000002
20,Gilbert,1Story,6,HdBoard,HdBoard,0.0,ALQ,TA,0.0,2.0,420.0,500,185000,1841.5,3.0,9.87
60,Gilbert,2Story,6,VinylSd,VinylSd,0.0,Unf,TA,1.0,2.0,393.0,0,180400,1465.0,2.5,12.0
20,Gilbert,1Story,7,HdBoard,HdBoard,0.0,GLQ,Gd,1.0,2.0,506.0,0,171500,1786.9,2.5,20.0
120,StoneBr,1Story,8,HdBoard,HdBoard,0.0,GLQ,Gd,0.0,2.0,528.0,0,212000,2543.6,2.5,25.0
60,StoneBr,2Story,8,CemntBd,Wd Shng,603.0,ALQ,Ex,1.0,3.0,841.0,0,538000,4270.2,3.5,7.0
50,Gilbert,1.5Fin,8,Wd Sdng,Wd Sdng,0.0,GLQ,TA,0.0,2.0,492.0,0,164000,2050.9,2.0,12.786000000000001
20,StoneBr,1Story,9,VinylSd,VinylSd,350.0,GLQ,Ex,1.0,3.0,834.0,0,394432,2867.5,2.5,0.0
20,Gilbert,1Story,4,VinylSd,VinylSd,0.0,LwQ,TA,0.0,2.0,400.0,0,141000,948.0,1.0,59.0
20,NWAmes,1Story,6,Plywood,Plywood,119.0,ALQ,TA,2.0,2.0,500.0,0,210000,2740.1,3.0,26.580000000000002
20,NWAmes,1Story,6,Plywood,Plywood,480.0,BLQ,TA,1.0,2.0,546.0,0,190000,2337.5,2.0,33.0
85,NWAmes,SFoyer,7,Plywood,Plywood,81.0,GLQ,Gd,2.0,2.0,528.0,0,170000,1910.1,3.0,36.0
60,Somerst,2Story,7,VinylSd,VinylSd,0.0,GLQ,Gd,0.0,2.0,663.0,0,216000,2047.1,3.5,10.0
20,NAmes,1Story,6,Wd Sdng,Wd Sdng,180.0,ALQ,TA,1.0,2.0,480.0,700,149000,1408.6,2.0,40.0
20,NAmes,1Story,5,VinylSd,VinylSd,0.0,GLQ,TA,1.0,2.0,500.0,0,149900,1591.8,2.5,18.946
20,NAmes,1Story,5,VinylSd,VinylSd,0.0,BLQ,TA,1.0,1.0,304.0,0,142000,1598.5,2.0,42.0
20,NAmes,1Story,4,Plywood,Plywood,0.0,ALQ,TA,0.0,2.0,525.0,0,126000,1499.4,2.0,40.0
20,NAmes,1Story,4,HdBoard,HdBoard,0.0,ALQ,TA,1.0,0.0,0.0,0,115000,1166.4,1.0,39.0
120,NAmes,1Story,7,MetalSd,MetalSd,0.0,GLQ,Gd,1.0,2.0,511.0,0,184000,2072.7,3.0,11.0
160,BrDale,2Story,6,HdBoard,HdBoard,504.0,Rec,TA,0.0,1.0,264.0,0,96000,1096.2,1.5,39.0
160,BrDale,2Story,5,HdBoard,HdBoard,492.0,Rec,TA,0.0,1.0,320.0,0,105500,1302.0,1.5,39.0
160,BrDale,2Story,6,HdBoard,ImStucc,381.0,Unf,TA,0.0,1.0,264.0,0,88000,1092.0,1.5,39.0
120,NPkVill,1Story,6,Plywood,Plywood,0.0,ALQ,TA,1.0,2.0,440.0,0,127500,1321.0,2.0,33.0
160,NPkVill,2Story,6,Plywood,Brk Cmn,0.0,ALQ,Gd,1.0,2.0,440.0,0,149900,1815.8,2.5,35.0
120,NPkVill,1Story,7,Plywood,Brk Cmn,0.0,Unf,TA,0.0,1.0,308.0,0,120000,836.0,1.0,35.0
160,NPkVill,2Story,6,Plywood,Brk Cmn,0.0,ALQ,TA,1.0,2.0,440.0,0,146000,1673.7,2.5,32.0
60,NridgHt,2Story,9,VinylSd,VinylSd,162.0,Unf,Ex,1.0,3.0,751.0,0,376162,2334.0,2.5,0.458
20,NridgHt,1Story,8,VinylSd,VinylSd,200.0,GLQ,Gd,1.0,3.0,772.0,0,306000,2556.6,3.0,2.458
20,NridgHt,1Story,9,VinylSd,VinylSd,450.0,GLQ,Ex,1.0,3.0,606.0,0,395192,3092.2,3.5,0.458
20,NridgHt,1Story,8,VinylSd,VinylSd,256.0,Unf,Gd,0.0,3.0,868.0,0,290941,1544.0,2.0,0.458
20,NridgHt,1Story,7,VinylSd,VinylSd,226.0,BLQ,Gd,1.0,2.0,532.0,0,220000,2381.7,2.0,5.0
20,NridgHt,1Story,9,VinylSd,VinylSd,615.0,GLQ,Ex,1.0,3.0,730.0,0,275000,1775.0,2.0,5.0
20,NridgHt,1Story,8,CemntBd,CmentBd,240.0,GLQ,Ex,1.0,3.0,678.0,0,259000,1841.6,2.0,4.458
20,NridgHt,1Story,7,VinylSd,VinylSd,168.0,GLQ,Gd,0.0,2.0,532.0,0,214000,1536.4,2.0,6.0
20,NridgHt,1Story,9,VinylSd,VinylSd,760.0,GLQ,Ex,2.0,3.0,820.0,0,611657,3895.6,3.5,0.458
120,NridgHt,1Story,7,VinylSd,VinylSd,128.0,GLQ,Gd,1.0,2.0,484.0,0,224000,1871.1,3.0,0.458
20,NridgHt,1Story,9,VinylSd,VinylSd,1095.0,GLQ,Ex,2.0,3.0,958.0,0,500000,3657.1,3.5,6.458
60,NridgHt,2Story,8,VinylSd,VinylSd,232.0,GLQ,Gd,1.0,3.0,756.0,0,320000,2654.6,3.5,8.0
120,NridgHt,1Story,9,MetalSd,MetalSd,412.0,GLQ,Ex,1.0,2.0,576.0,0,319900,2071.2,3.0,5.0
120,NridgHt,1Story,8,VinylSd,VinylSd,178.0,GLQ,Gd,1.0,2.0,484.0,0,205000,1386.8,2.0,4.0
160,NridgHt,2Story,7,VinylSd,Wd Shng,106.0,Unf,Gd,0.0,2.0,474.0,0,175500,1626.0,2.5,7.0
20,Gilbert,1Story,6,VinylSd,VinylSd,0.0,Unf,Gd,0.0,2.0,430.0,0,199500,1324.0,2.0,5.0
120,Blmngtn,1Story,7,VinylSd,VinylSd,14.0,GLQ,Gd,0.0,2.0,437.0,0,160000,1156.2,2.0,4.0
120,Blmngtn,1Story,8,VinylSd,VinylSd,16.0,GLQ,Gd,1.0,2.0,430.0,0,192000,1285.8,2.0,5.458
80,Gilbert,SLvl,7,VinylSd,VinylSd,0.0,GLQ,Gd,1.0,2.0,400.0,0,184500,1602.2,3.5,6.0
60,Gilbert,2Story,6,VinylSd,VinylSd,0.0,GLQ,Gd,2.0,2.0,440.0,0,216500,2397.5,3.5,8.0
60,Gilbert,2Story,7,VinylSd,VinylSd,0.0,Unf,Gd,1.0,2.0,433.0,0,185088,1733.0,2.5,6.0
